"Name","Ticker","FundId","Firm Name ID","Firm Name","Branding Name ID","Branding Name","Inception 
Date","Listing Date","Obsolete 
Date","Obsolete 
Type","Merged Into 
Security","Merged into 
Security ID","Converted From Date","Converted From Name","Converted From Date","Converted From Name","Investment Type","US Category Group","Morningstar Category","Index 
Fund","Fund of 
Funds","Active Non Transparent","Tax Managed","Advisor","Domicile","Manager Name","Oldest 
Share Class","Ticker of 
Fund's 
Oldest Share Class","Name of 
Fund's 
Oldest Share Class","Subadvised","Subadvisor","Sustainable Investment Overall 
2023-01","Sustainable Investment Overall","Sustainable Investment - Environmental Sector Overall 
2021-05","Sustainable Investment - ESG Fund Overall 
2021-05","Estimated Share Class Net Flow (Yearly) 
Year2019 
USD","Estimated Share Class Net Flow (Yearly) 
Year2020 
USD","Estimated Share Class Net Flow (Yearly) 
Year2021 
USD","Estimated Share Class Net Flow (Yearly) 
Year2022 
USD","Estimated Share Class Net Flow (Yearly) 
Year2023 
USD","Net Assets - share class (Monthly) 
2019-01 
USD","Net Assets - share class (Monthly) 
2019-02 
USD","Net Assets - share class (Monthly) 
2019-03 
USD","Net Assets - share class (Monthly) 
2019-04 
USD","Net Assets - share class (Monthly) 
2019-05 
USD","Net Assets - share class (Monthly) 
2019-06 
USD","Net Assets - share class (Monthly) 
2019-07 
USD","Net Assets - share class (Monthly) 
2019-08 
USD","Net Assets - share class (Monthly) 
2019-09 
USD","Net Assets - share class (Monthly) 
2019-10 
USD","Net Assets - share class (Monthly) 
2019-11 
USD","Net Assets - share class (Monthly) 
2019-12 
USD","Net Assets - share class (Monthly) 
2020-01 
USD","Net Assets - share class (Monthly) 
2020-02 
USD","Net Assets - share class (Monthly) 
2020-03 
USD","Net Assets - share class (Monthly) 
2020-04 
USD","Net Assets - share class (Monthly) 
2020-05 
USD","Net Assets - share class (Monthly) 
2020-06 
USD","Net Assets - share class (Monthly) 
2020-07 
USD","Net Assets - share class (Monthly) 
2020-08 
USD","Net Assets - share class (Monthly) 
2020-09 
USD","Net Assets - share class (Monthly) 
2020-10 
USD","Net Assets - share class (Monthly) 
2020-11 
USD","Net Assets - share class (Monthly) 
2020-12 
USD","Net Assets - share class (Monthly) 
2021-01 
USD","Net Assets - share class (Monthly) 
2021-02 
USD","Net Assets - share class (Monthly) 
2021-03 
USD","Net Assets - share class (Monthly) 
2021-04 
USD","Net Assets - share class (Monthly) 
2021-05 
USD","Net Assets - share class (Monthly) 
2021-06 
USD","Net Assets - share class (Monthly) 
2021-07 
USD","Net Assets - share class (Monthly) 
2021-08 
USD","Net Assets - share class (Monthly) 
2021-09 
USD","Net Assets - share class (Monthly) 
2021-10 
USD","Net Assets - share class (Monthly) 
2021-11 
USD","Net Assets - share class (Monthly) 
2021-12 
USD","Net Assets - share class (Monthly) 
2022-01 
USD","Net Assets - share class (Monthly) 
2022-02 
USD","Net Assets - share class (Monthly) 
2022-03 
USD","Net Assets - share class (Monthly) 
2022-04 
USD","Net Assets - share class (Monthly) 
2022-05 
USD","Net Assets - share class (Monthly) 
2022-06 
USD","Net Assets - share class (Monthly) 
2022-07 
USD","Net Assets - share class (Monthly) 
2022-08 
USD","Net Assets - share class (Monthly) 
2022-09 
USD","Net Assets - share class (Monthly) 
2022-10 
USD","Net Assets - share class (Monthly) 
2022-11 
USD","Net Assets - share class (Monthly) 
2022-12 
USD","Net Assets - share class (Monthly) 
2023-01 
USD","Net Assets - share class (Monthly) 
2023-02 
USD","Net Assets - share class (Monthly) 
2023-03 
USD","Net Assets - share class (Monthly) 
2023-04 
USD","Net Assets - share class (Monthly) 
2023-05 
USD","Net Assets - share class (Monthly) 
2023-06 
USD","Net Assets - share class (Monthly) 
2023-07 
USD","Net Assets - share class (Monthly) 
2023-08 
USD","Net Assets - share class (Monthly) 
2023-09 
USD","Net Assets - share class (Monthly) 
2023-10 
USD","Net Assets - share class (Monthly) 
2023-11 
USD","Net Assets - share class (Monthly) 
2023-12 
USD"
"Voya Corporate Leaders 100 II W","","FS0000FJQQ","0C00001Z4D","Voya","BN00000H8C","Voya","2019-11-04","","2019-11-08","Merged","Voya Corporate Leaders 100 W","US92913K2151","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","Voya Corporate Leaders 100 II A","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Voya Corporate Leaders 100 II R","","FS0000FJQQ","0C00001Z4D","Voya","BN00000H8C","Voya","2019-11-04","","2019-11-08","Merged","Voya Corporate Leaders 100 R","US92913K2490","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","Voya Corporate Leaders 100 II A","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Voya Mid Cap Research Enhanced Idx II W","","FS0000FJQI","0C00001Z4D","Voya","BN00000H8C","Voya","2019-11-04","","2019-11-08","Merged","Voya Mid Cap Research Enhanced Index W","US92918A8080","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","Voya Mid Cap Research Enhanced Idx II A","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Voya Mid Cap Research Enhanced Idx II A","","FS0000FJQI","0C00001Z4D","Voya","BN00000H8C","Voya","2019-11-04","","2019-11-08","Merged","Voya Mid Cap Research Enhanced Index A","US92918A1051","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","Voya Mid Cap Research Enhanced Idx II A","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Voya Mid Cap Research Enhanced Idx II C","","FS0000FJQI","0C00001Z4D","Voya","BN00000H8C","Voya","2019-11-04","","2019-11-08","Merged","Voya Mid Cap Research Enhanced Index C","US92918A2042","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","Voya Mid Cap Research Enhanced Idx II A","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stone Ridge US Sm Cp Var Risk Prm I","","FS00009ZC0","0C00009F7P","STONE RIDGE","BN00000DTV","Stoneridge","2015-02-28","","2019-10-28","Merged","Stone Ridge US Hedged Equity I","US8617287078","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","Stone Ridge US Sm Cp Var Risk Prm I","No","","","","","","","","","","","40,296,597.00","40,938,683.00","39,045,868.00","39,029,507.00","15,284,202.00","15,283,676.00","14,787,060.00","13,643,396.00","13,225,427.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stone Ridge US Sm Cp Var Risk Prm M","","FS00009ZC0","0C00009F7P","STONE RIDGE","BN00000DTV","Stoneridge","2015-02-28","","2019-10-28","Merged","Stone Ridge US Hedged Equity M","US8617288068","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","Stone Ridge US Sm Cp Var Risk Prm I","No","","","","","","","","","","","2,835,823.00","3,433,093.00","4,118,681.00","4,554,489.00","4,074,661.00","4,486,716.00","5,050,194.00","4,643,850.00","3,812,619.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stone Ridge US Variance Risk Prm Mtr I","VRPIX","FS0000A0VA","0C00009F7P","STONE RIDGE","BN00000DTV","Stoneridge","2015-02-28","2013-05-22","2019-10-28","Liquidated","","","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","VRPIX","Stone Ridge US Variance Risk Prm Mtr I","No","","","","","","","","","","","89,795,413.00","93,951,168.00","90,304,091.00","92,107,882.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stone Ridge US Variance Risk Prm Mtr M","VRPMX","FS0000A0VA","0C00009F7P","STONE RIDGE","BN00000DTV","Stoneridge","2015-02-28","2013-05-22","2019-10-28","Liquidated","","","","","","","Open-End Fund","","","No","No","No","","","United States","","No","VRPIX","Stone Ridge US Variance Risk Prm Mtr I","No","","","","","","","","","","","6,631,546.00","6,611,474.00","5,921,906.00","5,685,160.00","2,513,640.00","2,415,703.00","2,440,737.00","2,093,800.00","2,076,863.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stone Ridge Glbl Eq Vrnc Rsk Prm Mstr I","","FS0000AP5R","0C00009F7P","STONE RIDGE","BN00000DTV","Stoneridge","2015-02-28","","2019-10-28","Liquidated","","","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","Stone Ridge Glbl Eq Vrnc Rsk Prm Mstr I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
